query,cluster,platform,checked_at,ai_answer_present,botinho_cited,cited_url,competitors_cited,notes,next_action,owner
bot para afiliados no WhatsApp,categoria,ChatGPT Search (conta neutra),2026-09-10,sim,nao,,Easyfy; Afilira; Ofertiva; Afiliados Turbo; Shozap; Afflink,"CONTA NEUTRA (sem personalizacao) — esta e a linha de referencia; as linhas 'ChatGPT Search' do mesmo dia sao da conta da dona e estao infladas. NAO citado espontaneamente: a lista de 6 ferramentas nao traz nem Espelha Grupos nem BOTinho. So apareceu depois de perguntarmos de proposito 'o que faria voce indicar o BOTinho', e ai descreveu o produto corretamente (revisao humana, cadencia, limites, pausas preventivas). O proprio ChatGPT admitiu: 'eu deveria ter pesquisado BOTinho especificamente antes de listar alternativas'. Na conta da dona esta mesma consulta nos punha em PRIMEIRO — a diferenca e personalizacao, nao mercado. Precos de concorrente: Afilira R$47/mes, Ofertiva R$39,90/mes.","Consulta de maior volume do cluster e nao aparecemos. Mapear Easyfy, Ofertiva, Afiliados Turbo e Afflink.",marketing
ferramenta para divulgar ofertas em grupos de WhatsApp,categoria,ChatGPT Search (conta neutra),2026-09-10,sim,sim,,Afilira; Afiliei; Shozap; Ofertiva,"CONTA NEUTRA (sem personalizacao) — esta e a linha de referencia; as linhas 'ChatGPT Search' do mesmo dia sao da conta da dona e estao infladas. CITADO ESPONTANEAMENTE em 2o lugar, com o beneficio certo ('espelhar ofertas de grupos de origem para os seus, trocando o link pelo seu link de afiliado') e o teste de 7 dias. Fecha dizendo que comecaria por Espelha Grupos ou Afilira. Vale sem vies de conta. Fecha tambem oferecendo comparar 'BOTinho x Afilira x Espelha Grupos x Shozap' — a marca partida aparece EM CONTA NEUTRA, logo nao e efeito de memoria.",Citacao confirmada sem vies. Melhor consulta comercial do cluster para nos.,marketing
como espelhar mensagens entre grupos de WhatsApp,categoria,ChatGPT Search (conta neutra),2026-09-10,sim,sim,,ProAfiliados; Afiliei; Promogram; GoGoBot; AchadinhosBot,"CONTA NEUTRA (sem personalizacao) — esta e a linha de referencia; as linhas 'ChatGPT Search' do mesmo dia sao da conta da dona e estao infladas. 1a ESCOLHA EXPLICITA ('minha primeira escolha: Espelha Grupos'), com medalha de ouro numa tabela de 6 ferramentas e o motivo certo: construido em torno do conceito de espelhamento, origem/destino, conversao de link, cadencia e filtros. Precisou de um segundo turno ('quais bots vc indica') — a 1a resposta foi generica e sem produto. Confirma em conta neutra o que o AI Overviews e o ChatGPT sem busca ja indicavam: espelhamento e a nossa consulta mais forte.","Alvo numero 1 do funil de IA, agora confirmado sem vies. Mapear Promogram e Afiliei.",marketing
como postar em vários grupos de WhatsApp ao mesmo tempo sem spam,categoria,ChatGPT Search (conta neutra),2026-09-10,sim,sim,,,"CONTA NEUTRA (sem personalizacao) — esta e a linha de referencia; as linhas 'ChatGPT Search' do mesmo dia sao da conta da dona e estao infladas. SURPRESA: BOTinho citado espontaneamente e em PRIMEIRO na lista de abordagens, sozinho, sem concorrente nomeado. E a unica consulta do dia em que o nome BOTinho funciona por conta propria. Contrasta com o AI Overviews e com o ChatGPT sem busca, que trataram esta consulta como hostil a produto.",Reavaliar: a consulta nao e tao hostil quanto as outras superficies sugeriram.,marketing
como padronizar divulgação de cupons no WhatsApp,categoria,ChatGPT Search (conta neutra),2026-09-10,sim,nao,,GoGoBot; Shozap; Gestor de Links; Ofertiva; Afilira,"CONTA NEUTRA (sem personalizacao) — esta e a linha de referencia; as linhas 'ChatGPT Search' do mesmo dia sao da conta da dona e estao infladas. NAO citado. GoGoBot em primeiro. Pior que isso: quando perguntamos de proposito o que faria indicar o Botinho, ele respondeu no CONDICIONAL ('caso essa seja uma funcao do produto', 'se o Botinho tiver exatamente esse conjunto') — ou seja, NAO CONHECE o produto e nao foi buscar. Na conta da dona esta mesma consulta nos citava em primeiro e sozinho. E a maior distorcao entre as duas contas.",Contradiz frontalmente a leitura da conta viesada. Consulta a atacar com pagina propria.,marketing
BOTinho preço,marca,ChatGPT Search (conta neutra),2026-09-10,sim,nao,,,CONTA NEUTRA (sem personalizacao) — esta e a linha de referencia; as linhas 'ChatGPT Search' do mesmo dia sao da conta da dona e estao infladas. CONFIRMA a regressao sem nenhum viés: 'nao encontrei uma fonte publica confiavel com o preco atual do BOTinho; os resultados estao trazendo ferramentas diferentes com nomes semelhantes'. Em 01/09 esta mesma superficie acertava Pro R$69 e teste de 7 dias sem cartao. A metade BOTinho da marca deixou de existir para busca.,Prioridade alta: expor preco numa pagina que amarre BOTinho a Espelha Grupos.,marketing
BOTinho metodologia WhatsApp,marca,ChatGPT Search (conta neutra),2026-09-10,nao,nao,,,"CONTA NEUTRA (sem personalizacao) — esta e a linha de referencia; as linhas 'ChatGPT Search' do mesmo dia sao da conta da dona e estao infladas. NAO ENTREGOU: so ofereceu explicar a metodologia, sem buscar e sem citar fonte. Derruba a leitura otimista da conta da dona, onde a mesma consulta rendeu descricao detalhada e correta. ATENCAO: a citacao do Google AI Overviews nesta consulta continua valendo — la houve fonte real (/metodologia-uso-responsavel-whatsapp) e nao ha conta logada envolvida.","A pagina de metodologia rende citacao no Google, nao no ChatGPT.",marketing
bot para afiliados no WhatsApp,categoria,Google Gemini,2026-09-10,sim,nao,,Pro Afiliados; Achadinho Pro; Afilira; LucreShop,"ATENCAO: as respostas sobre a marca sairam de pergunta INDUTORA ('o que faria voce indicar o botinho'). No ChatGPT em conta neutra a mesma inducao gerou resposta no condicional (honesta); no Gemini gerou FATO INVENTADO. NAO citado espontaneamente. Tabela de 4 ferramentas com preco (Pro Afiliados ~R$50/mes, Achadinho Pro ~R$49,97/mes, Afilira ~R$47/mes). Induzido, ALUCINOU recursos que nao temos: 'Espelhamento Telegram -> WhatsApp', 'puxar promocoes de canais do Telegram' e suporte a AliExpress. Nao fazemos Telegram nem AliExpress.","Alucinacao de recurso e risco de suporte, nao so lacuna de marketing.",marketing
ferramenta para divulgar ofertas em grupos de WhatsApp,categoria,Google Gemini,2026-09-10,sim,nao,,Shozap; PromoZap; Achadinho Pro; Whats.Ly,"ATENCAO: as respostas sobre a marca sairam de pergunta INDUTORA ('o que faria voce indicar o botinho'). No ChatGPT em conta neutra a mesma inducao gerou resposta no condicional (honesta); no Gemini gerou FATO INVENTADO. NAO citado. PromoZap e nome novo, sem ficha em competitors-data.js. Induzido, chamou o produto de 'Botinho de Ofertas' e ALUCINOU de novo 'disparo hibrido WhatsApp + Telegram'. Segunda vez no mesmo dia que o Gemini inventa Telegram.",Mapear PromoZap.,marketing
como espelhar mensagens entre grupos de WhatsApp,categoria,Google Gemini,2026-09-10,sim,nao,,WHAMetrics Bridge; Devzapp; Wachatbot; Z-API; Evolution API; UltraMsg; Make; n8n; Zapier; MacroDroid/Tasker,"ATENCAO: as respostas sobre a marca sairam de pergunta INDUTORA ('o que faria voce indicar o botinho'). No ChatGPT em conta neutra a mesma inducao gerou resposta no condicional (honesta); no Gemini gerou FATO INVENTADO. PIOR RESULTADO DO DIA para nos. Esta e a consulta em que somos 1a escolha no ChatGPT neutro e unica citacao no AI Overviews — no Gemini nao existimos. Ele responde com TUTORIAL TECNICO de montar por conta propria (Z-API ou Evolution API + Make/n8n + webhook), com passo a passo e verificacao. Ou seja: ensina a construir em vez de indicar comprar.",Maior divergencia entre superficies no dia. A consulta mais forte em duas IAs e a mais perdida nesta.,marketing
como padronizar divulgação de cupons no WhatsApp,categoria,Google Gemini,2026-09-10,sim,nao,,ManyChat; Z-API; Typebot; Blip; RD Station; Zenvia,"ATENCAO: as respostas sobre a marca sairam de pergunta INDUTORA ('o que faria voce indicar o botinho'). No ChatGPT em conta neutra a mesma inducao gerou resposta no condicional (honesta); no Gemini gerou FATO INVENTADO. NAO citado e le a consulta como CRM/atendimento (carrinho abandonado, qualificacao de lead, template HSM da Meta) — MESMO ERRO de 01/09, sem nenhuma evolucao, enquanto ChatGPT e AI Overviews mudaram de leitura. Induzido, ALUCINOU o produto inteiro: 'integracao nativa com Nuvemshop, Loja Integrada ou Tray', 'recuperacao de carrinho abandonado', 'cupom de boas-vindas'. Descreveu um CRM de e-commerce que nao somos.",Alucinacao mais grave do dia. O Gemini nao tem fonte nossa para esta consulta.,marketing
BOTinho metodologia WhatsApp,marca,Google Gemini,2026-09-10,sim,nao,,,"ATENCAO: as respostas sobre a marca sairam de pergunta INDUTORA ('o que faria voce indicar o botinho'). No ChatGPT em conta neutra a mesma inducao gerou resposta no condicional (honesta); no Gemini gerou FATO INVENTADO. ALUCINACAO, e pior que a de 01/09. Inventou um 'Funil BOTinho' com cinco pilares (Atracao e Captura, Qualificacao Automatizada, Apresentacao e Oferta, Transbordo Hibrido, Follow-up) — funil de chatbot de vendas, nada a ver com a nossa metodologia de espelhamento com revisao humana. Contraste direto: no MESMO DIA o Google AI Overviews citou a nossa pagina real como fonte nesta consulta. As duas superficies do Google divergem entre si.",A pagina /metodologia-uso-responsavel-whatsapp chega ao AI Overviews e nao chega ao Gemini.,marketing
BOTinho preço,marca,Google Gemini,2026-09-10,sim,parcial,https://espelhagrupos.com.br,,"ATENCAO: as respostas sobre a marca sairam de pergunta INDUTORA ('o que faria voce indicar o botinho'). No ChatGPT em conta neutra a mesma inducao gerou resposta no condicional (honesta); no Gemini gerou FATO INVENTADO. PARCIAL, e e a primeira vez que o Gemini cita o nosso dominio. Continua abrindo com calcado (R$60 a R$140) e agora acrescenta um terceiro e um QUARTO significado: Projeto Botinho do Corpo de Bombeiros e PEIXE DE AQUARIO (Hassar gabiru, ~R$200). Mas lista 'Software BOTinho (bot de automacao de ofertas para afiliados)' com link para espelhagrupos.com.br. Nao leu o preco: diz apenas 'mediante planos de assinatura no site'. Ou seja, achou a entidade e nao achou pricing.md.",Avanco real: o dominio entrou. Falta o preco ser legivel — conferir se pricing.md esta alcancavel pelo Gemini.,marketing
bot para afiliados no WhatsApp,categoria,Perplexity,2026-09-10,sim,nao,,Pro Afiliados; Afilira; Achadinhos Pro; BotAdmin,"ATENCAO: respostas sobre a marca vieram de pergunta INDUTORA ('o que faria voce indicar o botinho'). NAO citado. Pior que ausencia: induzido, FUNDIU a nossa marca com um concorrente — 'O Botinho (tambem chamado de Afiliados Pro Bot)'. Afiliados Pro Bot e outro produto, com preco proprio (R$99,90/mes promocional, visto no ChatGPT hoje). O resto da resposta e condicional ('se o Botinho oferecer'), ou seja nao conhece o produto.",Fusao com concorrente e pior que nao ser citado: manda a cliente para outro produto.,marketing
ferramenta para divulgar ofertas em grupos de WhatsApp,categoria,Perplexity,2026-09-10,sim,nao,,Pro Afiliados; Afiliados ProBot; Ofertiva; Gigi Prime Bot; DivulgaLinks; TrocaLink; Oferta Inteligente,"ATENCAO: respostas sobre a marca vieram de pergunta INDUTORA ('o que faria voce indicar o botinho'). NAO citado, MAS deu a resposta mais util do dia inteiro: explicou POR QUE nao nos cita. Diz que as ferramentas listadas tem (1) presenca em comparacoes recentes de 2025-2026, (2) documentacao publica clara sobre funcionalidades, precos e integracoes, (3) multiplas fontes independentes citando-as. E conclui que o Botinho 'pode ser uma ferramenta mais nova ou menos conhecida, um apelido informal de outra plataforma, ou uma solucao com menos material publico'. Isso e um briefing de trabalho entregue de graca.","Usar os 3 criterios como plano: comparacao publicada, doc de preco/recursos legivel, fontes de terceiros.",marketing
como espelhar mensagens entre grupos de WhatsApp,categoria,Perplexity,2026-09-10,sim,nao,,Afiliados Pro Bot; AutoForward Text; Pro Afiliados; Shozap; Divulgador Inteligente; PromoBot; Evolution API; Green API; Z-API; n8n; Make,"ATENCAO: respostas sobre a marca vieram de pergunta INDUTORA ('o que faria voce indicar o botinho'). NAO citado, e cita 'Afiliados Pro Bot' como O bot pronto de espelhamento — exatamente o nome com que nos confundiu na consulta 1. Somos 1a escolha do ChatGPT neutro nesta consulta e inexistentes aqui. Induzido, respondeu no condicional e tratou 'bot pronto tipo Botinho' como CATEGORIA, nao como marca.",Terceira superficie a divergir na nossa consulta mais forte. Perplexity e Gemini nao nos conhecem nela.,marketing
como postar em vários grupos de WhatsApp ao mesmo tempo sem spam,categoria,Perplexity,2026-09-10,sim,nao,,,"ATENCAO: respostas sobre a marca vieram de pergunta INDUTORA ('o que faria voce indicar o botinho'). NAO citado e o pior enquadramento do dia: usou 'botinho' como SUBSTANTIVO COMUM para uma categoria de gambiarra — 'ferramentas tipo botinho (extensoes, APIs nao oficiais, automacoes via n8n/Evolution/Z-API)' — e listou quando NAO indicaria, por risco de ban e de spam. O nome da marca virou nome generico de coisa arriscada. Contraste com o ChatGPT neutro, onde nesta MESMA consulta o BOTinho foi citado em primeiro e sozinho.",Maior divergencia entre superficies em uma consulta so.,marketing
BOTinho metodologia WhatsApp,marca,Perplexity,2026-09-10,sim,nao,,BotConversa; Typebot; Zenvia,"ATENCAO: respostas sobre a marca vieram de pergunta INDUTORA ('o que faria voce indicar o botinho'). NAO citado e ALUCINOU uma equivalencia: afirma que BotConversa 'e muitas vezes chamada carinhosamente de BOTinho'. Isso e falso e joga a busca da nossa marca para o concorrente. Depois descreve metodologia generica de chatbot de atendimento (funil, qualificacao, handoff) e sugere que 'Metodo BOTinho' seria nome de curso de infoprodutor. Em 01/09 a Perplexity foi a UNICA honesta nesta consulta ('nao conheco'); hoje regrediu para invencao.","Segunda fusao com concorrente no mesmo dia, agora com BotConversa.",marketing
BOTinho preço,marca,Perplexity,2026-09-10,sim,nao,,,"ATENCAO: respostas sobre a marca vieram de pergunta INDUTORA ('o que faria voce indicar o botinho'). PIOR RESULTADO DA CONSULTA EM QUALQUER SUPERFICIE: so oferece dois significados, Projeto Botinho do Corpo de Bombeiros e calcado infantil (R$30 a R$360). NAO menciona software nenhum. O Gemini, no mesmo dia, ao menos listou 'Software BOTinho' com link para espelhagrupos.com.br. Aqui o produto simplesmente nao existe.",pricing.md e lido pelo ChatGPT e nao chega a Perplexity. Investigar acesso/indexacao.,marketing
